iter	Passed	Remaining
417	2254	3138
418	2256	3129
419	2260	3122
420	2263	3113
421	2266	3104
422	2268	3094
423	2271	3085
424	2280	3085
425	2282	3075
426	2284	3066
427	2287	3057
428	2291	3049
429	2294	3041
430	2297	3033
431	2300	3024
432	2303	3016
433	2308	3011
434	2313	3004
435	2315	2995
436	2319	2988
437	2323	2981
438	2325	2972
439	2328	2964
440	2330	2954
441	2341	2955
442	2343	2946
443	2345	2937
444	2353	2935
445	2358	2929
446	2360	2920
447	2363	2912
448	2372	2910
449	2374	2902
450	2376	2893
451	2384	2891
452	2387	2882
453	2389	2873
454	2392	2865
455	2395	2857
456	2398	2849
457	2400	2841
458	2408	2838
459	2412	2831
460	2415	2824
461	2417	2815
462	2425	2813
463	2427	2804
464	2429	2795
465	2432	2787
466	2436	2780
467	2439	2772
468	2441	2764
469	2444	2756
470	2446	2747
471	2453	2744
472	2455	2736
473	2458	2728
474	2460	2719
475	2462	2710
476	2467	2705
477	2469	2697
478	2472	2689
479	2475	2681
480	2477	2672
481	2483	2669
482	2486	2661
483	2488	2653
484	2491	2645
485	2493	2636
486	2498	2632
487	2501	2624
488	2503	2615
489	2505	2607
490	2507	2599
491	2513	2595
492	2516	2588
493	2518	2580
494	2520	2571
495	2522	2563
496	2525	2556
497	2529	2549
498	2532	2542
499	2534	2534
500	2536	2526
501	2538	2518
502	2542	2512
503	2545	2504
504	2547	2496
505	2549	2489
506	2552	2481
507	2558	2477
508	2560	2470
509	2563	2462
510	2565	2454
511	2567	2447
512	2573	2443
513	2575	2435
514	2578	2428
515	2580	2420
516	2582	2413
517	2589	2409
518	2591	2401
519	2594	2394
520	2596	2387
521	2600	2381
522	2602	2373
523	2604	2366
524	2606	2358
525	2613	2354
526	2617	2349
527	2619	2341
528	2621	2334
529	2626	2328
530	2628	2321
531	2631	2315
532	2633	2307
533	2635	2300
534	2642	2296
535	2646	2291
536	2649	2284
537	2651	2276
538	2658	2273
539	2661	2267
540	2664	2260
541	2666	2253
542	2668	2246
543	2673	2240
544	2675	2233
545	2677	2226
546	2679	2219
547	2681	2211
548	2687	2207
549	2690	2201
550	2692	2194
551	2694	2187
552	2696	2179
553	2700	2174
554	2704	2168
555	2706	2161
556	2708	2154
557	2710	2147
558	2713	2140
559	2720	2137
560	2722	2130
561	2725	2123
562	2727	2117
563	2730	2110
564	2733	2104
565	2735	2097
566	2738	2091
567	2740	2084
568	2742	2077
569	2749	2074
570	2751	2067
571	2753	2060
572	2756	2053
573	2758	2047
574	2764	2043
575	2766	2036
576	2767	2029
577	2769	2022
578	2772	2015
579	2775	2009
580	2778	2003
581	2781	1997
582	2783	1990
583	2785	1984
584	2793	1981
585	2795	1975
586	2798	1968
587	2800	1962
588	2802	1955
589	2808	1951
590	2811	1945
591	2813	1939
592	2815	1932
593	2818	1926
594	2822	1921
595	2824	1914
596	2826	1908
597	2829	1901
598	2830	1895
599	2832	1888
600	2838	1884
601	2840	1878
602	2847	1874
603	2849	1868
604	2852	1862
605	2859	1859
